
####################################
83: 58.58840870857239s : x = 202.66911851356835 , y = 436.6441289797079
84: 59.05141854286194s : x = 205.1363742830863 , y = 442.3666511101322
85: 59.51012325286865s : x = 204.95301531123894 , y = 447.98430034484386
86: 59.989737033843994s : x = 209.24197806380135 , y = 454.24753731922084
87: 60.453492164611816s : x = 214.15691196247093 , y = 456.65807184627363
88: 62.168468713760376s : x = 219.1328837924332 , y = 459.0854069133971
89: 62.66394066810608s : x = 224.66276495850684 , y = 460.72257004745825
90: 63.169193983078s : x = 230.0649436018301 , y = 462.00175403654885
91: 63.637961864471436s : x = 235.57134594352198 , y = 463.3659213614617
92: 64.10830950737s : x = 241.18610196834214 , y = 464.7199859702023
93: 64.56858110427856s : x = 245.81076485813225 , y = 466.8676575362938
94: 66.64683747291565s : x = 248.62707312785287 , y = 465.677502755645
95: 67.14939522743225s : x = 247.8960670806388 , y = 465.4054266286611
96: 67.6175537109375s : x = 247.5903717756757 , y = 466.35755602140324
97: 68.07838845252991s : x = 247.81268361644493 , y = 466.3929835478793
98: 68.5326361656189s : x = 247.5903717756757 , y = 466.35755602140324
99: 68.99993991851807s : x = 247.81268361644493 , y = 466.3929835478793
100: 69.46663093566895s : x = 247.36812210617364 , y = 466.3217405417246
101: 69.95606994628906s : x = 247.5903717756757 , y = 466.35755602140324
102: 70.44751238822937s : x = 247.3037741520474 , y = 466.161968511228
103: 70.921954870224s : x = 248.03505695128084 , y = 466.4280230132344
104: 71.42013192176819s : x = 247.81268361644493 , y = 466.3929835478793
105: 71.90530204772949s : x = 247.5903717756757 , y = 466.35755602140324
106: 72.41040968894958s : x = 248.4060087956198 , y = 465.64349769602336
107: 72.88543248176575s : x = 247.36812210617364 , y = 466.3217405417246
108: 73.35929274559021s : x = 247.36812210617364 , y = 466.3217405417246
109: 73.83875513076782s : x = 247.81268361644493 , y = 466.3929835478793
110: 74.35517501831055s : x = 247.36812210617364 , y = 466.3217405417246
111: 74.85026359558105s : x = 247.67547872397344 , y = 465.37014613784515
112: 75.33596968650818s : x = 247.5903717756757 , y = 466.35755602140324
113: 75.81513738632202s : x = 247.5903717756757 , y = 466.35755602140324
114: 76.33293414115906s : x = 247.5903717756757 , y = 466.35755602140324
115: 76.81954908370972s : x = 247.5903717756757 , y = 466.35755602140324
116: 77.29380297660828s : x = 247.36812210617364 , y = 466.3217405417246
117: 77.76453185081482s : x = 247.36812210617364 , y = 466.3217405417246
118: 78.26865005493164s : x = 247.5903717756757 , y = 466.35755602140324
119: 78.74067783355713s : x = 247.36812210617364 , y = 466.3217405417246
120: 79.20781373977661s : x = 247.81268361644493 , y = 466.3929835478793
121: 79.67468428611755s : x = 247.5903717756757 , y = 466.35755602140324
122: 80.17384576797485s : x = 247.5903717756757 , y = 466.35755602140324
123: 80.66385555267334s : x = 247.36812210617364 , y = 466.3217405417246
124: 81.15324997901917s : x = 247.5903717756757 , y = 466.35755602140324
125: 81.63455176353455s : x = 247.36812210617364 , y = 466.3217405417246
126: 82.14770126342773s : x = 247.8960670806388 , y = 465.4054266286611
127: 82.65444779396057s : x = 248.62707312785287 , y = 465.677502755645
128: 83.14430379867554s : x = 247.74777834588406 , y = 466.2334371070457
129: 83.62626910209656s : x = 248.12342737895477 , y = 466.1511771901476
130: 84.13055324554443s : x = 247.52574506490006 , y = 466.19789654256294

####################################
1: 0.24358797073364258s : x = 302.63149187761854 , y = 178.08072509300754
2: 0.4958803653717041s : x = 302.8904479965653 , y = 177.67933327232967
3: 0.7316040992736816s : x = 303.17213362606174 , y = 177.81901785126357
4: 0.9684638977050781s : x = 303.17213362606174 , y = 177.81901785126357
5: 1.2662582397460938s : x = 303.17213362606174 , y = 177.81901785126357
6: 1.5170001983642578s : x = 302.359400944314 , y = 178.1261116125928
7: 1.7416348457336426s : x = 302.63149187761854 , y = 178.08072509300754
